window,start,end,profile,exec_model,exec_model_effective,status,cpu_start_equity,cpu_final_equity,cpu_return_pct,cpu_max_dd_pct,cpu_cagr_pct,cpu_window_trades,gpu_final_equity,gpu_return_pct,gpu_max_dd_pct,gpu_window_trades,cpu_gpu_diff_bps
2y,2024-03-20,2026-03-20,original_composer,market_close,market_close,ok,10000.0,23264.138397343515,132.64138397343515,62.25657403956084,52.65841058031495,437,23264.138397343515,132.64138397343515,62.25657403956084,436,0.0
3y,2023-03-20,2026-03-20,original_composer,market_close,market_close,ok,10000.0,11315.208006754408,13.152080067544091,84.60249729254178,4.207689239915546,471,11315.208006754412,13.152080067544114,84.60249729254178,471,3.215123226121948e-12
1m,2026-02-20,2026-03-20,trailing12_4_adapt,market_close,market_close,ok,10000.0,18327.275420695107,83.27275420695106,8.629826672505132,362251.4571542743,14,18327.275420695107,83.27275420695106,8.629826672505132,14,0.0
2m,2026-01-20,2026-03-20,trailing12_4_adapt,market_close,market_close,ok,10000.0,23701.298067647243,137.01298067647244,14.580192466190276,22813.69845078627,27,23701.298067647243,137.01298067647244,14.580192466190276,27,0.0
3m,2025-12-20,2026-03-20,trailing12_4_adapt,market_close,market_close,ok,10000.0,18350.47276128357,83.5047276128357,36.01279872012799,1178.9804819046585,31,18350.47276128357,83.5047276128357,36.01279872012799,31,0.0
6m,2025-09-20,2026-03-20,trailing12_4_adapt,market_close,market_close,ok,10000.0,20461.347743603783,104.61347743603784,39.14307093474455,334.5368102104992,50,20461.347743603783,104.61347743603784,39.14307093474455,50,0.0
1y,2025-03-20,2026-03-20,trailing12_4_adapt,market_close,market_close,ok,10000.0,33278.818814981205,232.78818814981204,39.143070934744564,234.1650782653843,254,33278.818814981205,232.78818814981204,39.143070934744564,250,0.0
2y,2024-03-20,2026-03-20,trailing12_4_adapt,market_close,market_close,ok,10000.0,23203.730201992963,132.03730201992965,62.26412196995991,52.45967577188224,469,23203.730201992974,132.03730201992974,62.26412196995991,464,4.703526685695451e-12
3y,2023-03-20,2026-03-20,trailing12_4_adapt,market_close,market_close,ok,10000.0,11281.313250177103,12.81313250177103,84.61481036886155,4.103462333043684,506,11281.313250177103,12.81313250177103,84.61481036886155,498,0.0
1m,2026-02-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,market_close,market_close,ok,10000.0,18319.945976488958,83.19945976488958,8.629826672505132,360296.0284440941,18,18319.945976488958,83.19945976488958,8.629826672505132,18,0.0
