engine,window,period,protective_stop_pct,initial_equity,final_equity,return_pct,maxdd_pct,maxdd_usd,events,delta_return_vs_base_pct,delta_maxdd_vs_base_pct,delta_equity_vs_base_usd
v2,6m,2025-10-09 to 2026-04-10,7.0,10000.0,10587.257586423022,5.872575864230223,42.85505007491792,4593.533851155911,50,-175.59380850365338,30.10389403106217,-17559.38085036534
v2,1y,2025-04-10 to 2026-04-10,7.0,10000.0,15979.57516255299,59.7957516255299,50.018398821667006,8166.103080822367,104,-351.0511997514168,36.79070486166828,-35105.119975141686
v2,10d,2026-03-31 to 2026-04-10,8.0,10000.0,12747.848403300031,27.478484033000306,6.81457616011252,877.2337976057697,4,-17.73515762668294,-4.440892098500626e-15,-1773.5157626682922
v2,1m,2026-03-11 to 2026-04-10,8.0,10000.0,12369.091035512214,23.690910355122142,19.331036250815888,2414.529617177892,10,-31.948023041410465,6.579880206960128,-3194.802304141047
v2,2m,2026-02-08 to 2026-04-10,8.0,10000.0,13703.412586512724,37.034125865127244,19.331036250815885,2674.9981426725826,15,-89.81764440595182,6.579880206960123,-8981.764440595183
v2,3m,2026-01-08 to 2026-04-10,8.0,10000.0,16571.765132375167,65.71765132375167,19.331036250815913,3234.9198179685663,23,-105.11296674338668,6.579880206960148,-10511.296674338668
v2,4m,2025-12-09 to 2026-04-10,8.0,10000.0,15533.618613818111,55.33618613818112,19.331036250815885,3032.2666473491954,30,-115.148863341088,6.579880206960134,-11514.886334108804
v2,5m,2025-11-08 to 2026-04-10,8.0,10000.0,13581.605202797307,35.816052027973065,20.459719586322837,2806.017627274723,35,-202.1242493297727,7.7085635424670595,-20212.424932977272
v2,6m,2025-10-09 to 2026-04-10,8.0,10000.0,10390.720449237288,3.9072044923728733,41.36203543919665,4339.9745115217775,44,-177.55917987551072,28.610879395340902,-17755.917987551074
v2,1y,2025-04-10 to 2026-04-10,8.0,10000.0,17908.897956878878,79.08897956878877,43.34191508337529,7838.204220029389,95,-331.75797180815795,30.114221123376566,-33175.797180815796
fev1,10d,2026-03-31 to 2026-04-10,0.0,10000.0,16641.85380077716,66.4185380077716,0.006008345115692565,0.999900009999692,3,0.0,0.0,0.0
fev1,1m,2026-03-11 to 2026-04-10,0.0,10000.0,17836.6188306474,78.36618830647399,11.235564329870941,2004.0447829912628,8,0.0,0.0,0.0
fev1,2m,2026-02-08 to 2026-04-10,0.0,10000.0,25997.791613450947,159.97791613450948,11.235564329870945,2920.9986010750745,13,0.0,0.0,0.0
fev1,3m,2026-01-08 to 2026-04-10,0.0,10000.0,31037.87976896926,210.37879768969256,11.235564329870945,3487.28094807054,19,0.0,0.0,0.0
fev1,4m,2025-12-09 to 2026-04-10,0.0,10000.0,30998.276727190736,209.98276727190736,11.235564329870934,3482.8313228349252,24,0.0,0.0,0.0
fev1,5m,2025-11-08 to 2026-04-10,0.0,10000.0,38728.82068315763,287.2882068315763,11.235564329870957,4351.401562056544,28,0.0,0.0,0.0
fev1,6m,2025-10-09 to 2026-04-10,0.0,10000.0,32256.7657208211,222.56765720821096,11.235564329870936,3624.229663298611,34,0.0,0.0,0.0
fev1,1y,2025-04-10 to 2026-04-10,0.0,10000.0,58544.363891868335,485.44363891868335,11.65546134893588,6823.615705397087,75,0.0,0.0,0.0
fev1,10d,2026-03-31 to 2026-04-10,4.0,10000.0,10731.17686535365,7.311768653536488,11.245368372762107,1206.7603692416433,3,-59.10676935423511,11.239360027646415,-5910.676935423511
fev1,1m,2026-03-11 to 2026-04-10,4.0,10000.0,12363.990489188254,23.639904891882544,13.405916964658067,1657.506298498798,11,-54.72628341459144,2.1703526347871254,-5472.628341459145
fev1,2m,2026-02-08 to 2026-04-10,4.0,10000.0,10325.689745391297,3.256897453912977,21.272503122809226,2196.532673539956,20,-156.7210186805965,10.036938792938281,-15672.10186805965
fev1,3m,2026-01-08 to 2026-04-10,4.0,10000.0,12849.202140268351,28.49202140268352,22.85045983971015,2936.1017747851965,30,-181.88677628700904,11.614895509839206,-18188.677628700905
fev1,4m,2025-12-09 to 2026-04-10,4.0,10000.0,16473.142755656743,64.73142755656743,22.85045983971016,3764.188869719468,38,-145.25133971533995,11.614895509839227,-14525.133971533993
fev1,5m,2025-11-08 to 2026-04-10,4.0,10000.0,14239.56737494144,42.3956737494144,22.850459839710094,3253.806624359455,43,-244.8925330821619,11.614895509839137,-24489.25330821619
fev1,6m,2025-10-09 to 2026-04-10,4.0,10000.0,12446.349098526654,24.463490985266546,22.850459839710147,2844.048002268959,54,-198.1041662229444,11.614895509839211,-19810.416622294444
fev1,1y,2025-04-10 to 2026-04-10,4.0,10000.0,16920.134331018067,69.20134331018066,22.85045983971015,3866.328500134294,117,-416.2422956085027,11.194998490774271,-41624.22956085027
fev1,10d,2026-03-31 to 2026-04-10,5.0,10000.0,14672.196011305648,46.7219601130565,5.532837161482751,811.7887133191089,4,-19.696577894715105,5.5268288163670585,-1969.657789471512
fev1,1m,2026-03-11 to 2026-04-10,5.0,10000.0,16292.762468954665,62.92762468954665,11.81606017222165,1925.162617048829,12,-15.43856361692734,0.5804958423507092,-1543.856361692735
fev1,2m,2026-02-08 to 2026-04-10,5.0,10000.0,16404.126216389635,64.04126216389636,12.586267439666289,2064.6671967352104,20,-95.93665397061312,1.3507031097953437,-9593.665397061312
fev1,3m,2026-01-08 to 2026-04-10,5.0,10000.0,17718.371738722362,77.18371738722362,18.463662522961332,3271.4603624014526,30,-133.19508030246894,7.228098193090387,-13319.508030246896
fev1,4m,2025-12-09 to 2026-04-10,5.0,10000.0,22025.93018439506,120.25930184395062,18.463662522961364,4066.7934167897856,38,-89.72346542795674,7.22809819309043,-8972.346542795676
fev1,5m,2025-11-08 to 2026-04-10,5.0,10000.0,18203.36729460022,82.03367294600218,18.463662522961354,3361.008305090105,43,-205.25453388557412,7.228098193090396,-20525.453388557413
fev1,6m,2025-10-09 to 2026-04-10,5.0,10000.0,14855.931335377358,48.55931335377357,22.085271126075007,3280.972713721625,54,-174.00834385443738,10.849706796204071,-17400.83438544374
fev1,1y,2025-04-10 to 2026-04-10,5.0,10000.0,17977.06681064838,79.77066810648378,24.909628574816843,4478.020571179183,114,-405.67297081219954,13.254167225880963,-40567.29708121996
