candidate_id,avg_return_pct,avg_max_dd_pct,score,ret_wins,dd_wins,both_wins,delta_avg_return_pct,delta_avg_max_dd_pct,strict_accept
C_sp4.8_rv80_tr1.20_th1.15,364.0372,26.125,337.9122,4,2,2,60.5962,-0.52,True
C_sp4.8_rv85_tr1.20_th1.15,364.0372,26.125,337.9122,4,2,2,60.5962,-0.52,True
C_sp4.8_rv90_tr1.20_th1.15,364.0372,26.125,337.9122,4,2,2,60.5962,-0.52,True
C_sp5.0_rv70_tr1.05_th1.15,363.7653,26.205,337.5603,4,2,2,60.3242,-0.44,True
C_sp5.5_rv70_tr1.15_th1.15,362.6178,26.14,336.4778,4,2,2,59.1768,-0.505,True
C_sp5.2_rv75_tr1.05_th1.15,362.4394,26.235,336.2044,4,2,2,58.9984,-0.41,True
C_sp5.2_rv80_tr1.05_th1.15,362.4394,26.235,336.2044,4,2,2,58.9984,-0.41,True
C_sp5.2_rv85_tr1.05_th1.15,362.4394,26.235,336.2044,4,2,2,58.9984,-0.41,True
C_sp5.2_rv90_tr1.05_th1.15,362.4394,26.235,336.2044,4,2,2,58.9984,-0.41,True
C_sp4.8_rv70_tr1.20_th1.15,361.9423,26.125,335.8173,4,2,2,58.5012,-0.52,True
C_sp5.0_rv70_tr1.25_th1.20,361.8602,26.195,335.6652,3,2,2,58.4192,-0.45,True
C_sp4.8_rv75_tr1.10_th1.10,361.9939,26.4325,335.5614,4,2,2,58.5529,-0.2125,True
C_sp4.8_rv80_tr1.10_th1.10,361.9939,26.4325,335.5614,4,2,2,58.5529,-0.2125,True
C_sp4.8_rv85_tr1.10_th1.10,361.9939,26.4325,335.5614,4,2,2,58.5529,-0.2125,True
C_sp4.8_rv90_tr1.10_th1.10,361.9939,26.4325,335.5614,4,2,2,58.5529,-0.2125,True
C_sp5.0_rv75_tr1.20_th1.15,360.9612,26.125,334.8362,4,2,2,57.5202,-0.52,True
C_sp5.0_rv80_tr1.20_th1.15,360.9612,26.125,334.8362,4,2,2,57.5202,-0.52,True
C_sp5.0_rv85_tr1.20_th1.15,360.9612,26.125,334.8362,4,2,2,57.5202,-0.52,True
C_sp5.0_rv90_tr1.20_th1.15,360.9612,26.125,334.8362,4,2,2,57.5202,-0.52,True
C_sp5.2_rv75_tr1.25_th1.20,360.5358,26.2225,334.3133,3,2,2,57.0948,-0.4225,True
C_sp5.2_rv80_tr1.25_th1.20,360.5358,26.2225,334.3133,3,2,2,57.0948,-0.4225,True
C_sp5.2_rv85_tr1.25_th1.20,360.5358,26.2225,334.3133,3,2,2,57.0948,-0.4225,True
C_sp5.2_rv90_tr1.25_th1.20,360.5358,26.2225,334.3133,3,2,2,57.0948,-0.4225,True
C_sp5.2_rv70_tr1.05_th1.15,359.8571,26.235,333.6221,4,2,2,56.416,-0.41,True
C_sp4.8_rv70_tr1.10_th1.10,359.9283,26.4325,333.4958,4,2,2,56.4872,-0.2125,True
C_sp5.5_rv75_tr1.05_th1.15,359.1564,26.2775,332.8789,4,2,2,55.7154,-0.3675,True
C_sp5.5_rv80_tr1.05_th1.15,359.1564,26.2775,332.8789,4,2,2,55.7154,-0.3675,True
C_sp5.5_rv85_tr1.05_th1.15,359.1564,26.2775,332.8789,4,2,2,55.7154,-0.3675,True
C_sp5.5_rv90_tr1.05_th1.15,359.1564,26.2775,332.8789,4,2,2,55.7154,-0.3675,True
C_sp5.0_rv70_tr1.20_th1.15,358.6543,26.125,332.5293,4,2,2,55.2132,-0.52,True
C_sp5.0_rv75_tr1.10_th1.10,358.9476,26.4325,332.5151,4,2,2,55.5066,-0.2125,True
C_sp5.0_rv80_tr1.10_th1.10,358.9476,26.4325,332.5151,4,2,2,55.5066,-0.2125,True
C_sp5.0_rv85_tr1.10_th1.10,358.9476,26.4325,332.5151,4,2,2,55.5066,-0.2125,True
C_sp5.0_rv90_tr1.10_th1.10,358.9476,26.4325,332.5151,4,2,2,55.5066,-0.2125,True
C_sp5.2_rv70_tr1.25_th1.20,357.9823,26.2225,331.7598,3,2,2,54.5413,-0.4225,True
C_sp5.2_rv75_tr1.20_th1.15,357.3423,26.155,331.1873,4,2,2,53.9012,-0.49,True
C_sp5.2_rv80_tr1.20_th1.15,357.3423,26.155,331.1873,4,2,2,53.9012,-0.49,True
