window,start,end,profile,exec_model,exec_model_effective,status,cpu_start_equity,cpu_final_equity,cpu_return_pct,cpu_max_dd_pct,cpu_cagr_pct,cpu_avg_daily_return_pct,cpu_window_trades,gpu_final_equity,gpu_return_pct,gpu_max_dd_pct,gpu_window_trades,cpu_gpu_diff_bps
2y,2024-03-20,2026-03-20,original_composer,market_close,market_close,ok,10000.0,23267.18126268983,132.67181262689834,62.267566815030385,52.668414380832296,0.3273692382499172,435,23267.18126268982,132.6718126268982,62.267566815030385,442,4.6906998738073264e-12
3y,2023-03-20,2026-03-20,original_composer,market_close,market_close,ok,10000.0,11350.896534772579,13.508965347725788,84.61282115858432,4.317207386938726,0.16871589872242304,463,11350.89653477259,13.508965347725898,84.61282115858432,469,9.615043523514775e-12
5y,2021-03-20,2026-03-20,original_composer,market_close,market_close,ok,10000.0,15010.2181927112,50.102181927112,88.19800818515606,8.47765610601392,0.17868809106817496,1033,15010.218192711203,50.10218192711204,88.19800818515603,1030,2.423668170831971e-12
10y,2016-03-20,2026-03-20,original_composer,market_close,market_close,ok,10000.0,3227.046727353105,-67.72953272646896,95.13624488202662,-10.700941114420248,0.0930891580129535,1404,3227.046727353105,-67.72953272646896,95.13624488202662,1406,0.0
1m,2026-02-20,2026-03-20,trailing12_4_adapt,market_close,market_close,ok,10000.0,18327.27552045886,83.2727552045886,8.62982686148236,362251.4838370723,3.4022246846660464,15,18327.27552045886,83.2727552045886,8.62982686148236,15,0.0
2m,2026-01-20,2026-03-20,trailing12_4_adapt,market_close,market_close,ok,10000.0,23701.29458903037,137.01294589030374,14.580192196565342,22813.677272455723,2.3139719988423226,28,23701.29458903037,137.01294589030374,14.580192196565342,28,0.0
3m,2025-12-20,2026-03-20,trailing12_4_adapt,market_close,market_close,ok,10000.0,18350.47111030798,83.5047111030798,36.012797333242744,1178.9799988144657,1.219377727349292,30,18350.47111030798,83.5047111030798,36.012797333242744,30,0.0
6m,2025-09-20,2026-03-20,trailing12_4_adapt,market_close,market_close,ok,10000.0,20460.578826849283,104.60578826849284,39.1430693237195,334.5033033839228,0.7935001255988955,51,20460.578826849283,104.60578826849284,39.1430693237195,51,0.0
1y,2025-03-20,2026-03-20,trailing12_4_adapt,market_close,market_close,ok,10000.0,33292.1410865683,232.92141086568301,39.14306932371952,234.29931166253496,0.6287674801812084,260,33292.14108656828,232.9214108656828,39.1430693237195,255,6.5564641173999846e-12
2y,2024-03-20,2026-03-20,trailing12_4_adapt,market_close,market_close,ok,10000.0,23206.76601519986,132.0676601519986,62.27511535104854,52.469669344023664,0.3268372609770048,461,23206.76601519986,132.0676601519986,62.27511535104854,457,0.0
3y,2023-03-20,2026-03-20,trailing12_4_adapt,market_close,market_close,ok,10000.0,11316.880421492673,13.168804214926721,84.62512730658625,4.212826551739557,0.16830675185144592,506,11316.880421492675,13.168804214926745,84.62512730658625,501,1.6073240467322492e-12
5y,2021-03-20,2026-03-20,trailing12_4_adapt,market_close,market_close,ok,10000.0,14941.293762809313,49.41293762809313,88.22161093764487,8.377672494004917,0.17831137818381473,1104,14941.293762809297,49.412937628092976,88.22161093764487,1070,1.0956818660952822e-11
10y,2016-03-20,2026-03-20,trailing12_4_adapt,market_close,market_close,ok,10000.0,3204.948604063927,-67.95051395936072,95.15891255044143,-10.7623224473823,0.0928070582677914,1480,3204.948604063924,-67.95051395936076,95.15891255044143,1464,9.932238701640517e-12
1m,2026-02-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,market_close,market_close,ok,10000.0,18319.946076212826,83.19946076212825,8.62982686148236,360296.05498290097,3.399899238511248,17,18319.946076212826,83.19946076212825,8.62982686148236,17,0.0
2m,2026-01-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,market_close,market_close,ok,10000.0,23691.81596701395,136.91815967013952,14.580192196565342,22756.031144127082,2.31289435306327,32,23691.81596701395,136.91815967013952,14.580192196565342,32,0.0
3m,2025-12-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,market_close,market_close,ok,10000.0,18339.464130029388,83.39464130029388,36.025593494160006,1175.762346568393,1.2182733041009632,35,18339.464130029388,83.39464130029388,36.025593494160006,35,0.0
6m,2025-09-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,market_close,market_close,ok,10000.0,20440.128474834462,104.40128474834461,39.155239492837865,333.612631375577,0.7926239954096079,60,20440.128474834462,104.40128474834461,39.155239492837865,60,0.0
1y,2025-03-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,market_close,market_close,ok,10000.0,33240.183647188656,232.40183647188655,39.15523949283784,233.7757966115702,0.6280950579573578,269,33240.18364718864,232.4018364718864,39.15523949283786,270,4.377808312619718e-12
2y,2024-03-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,market_close,market_close,ok,10000.0,23145.036266568117,131.45036266568115,62.29403964063941,52.266333221294616,0.3262689375374428,500,23145.036266568106,131.45036266568107,62.29403964063941,493,4.7154544480190735e-12
3y,2023-03-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,market_close,market_close,ok,10000.0,11266.472981670417,12.664729816704167,84.64820825424786,4.057762580761515,0.16767557898152682,554,11266.472981670426,12.664729816704256,84.64820825424785,540,8.072576956893234e-12
5y,2021-03-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,market_close,market_close,ok,10000.0,14843.06527434076,48.430652743407606,88.26904669241445,8.234540339344964,0.17775245059696784,1163,14843.06527434076,48.430652743407606,88.26904669241445,1145,0.0
10y,2016-03-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,market_close,market_close,ok,10000.0,3164.9088036861476,-68.35091196313851,95.20904411212108,-10.87451663961474,0.09227280746253069,1615,3164.9088036861476,-68.35091196313851,95.20904411212108,1593,0.0
1m,2026-02-20,2026-03-20,original_composer,paper_live_style_optimistic,synthetic,ok,10000.0,18338.275185377282,83.38275185377282,8.62982686148236,365204.5383245337,3.4055340175483804,9,18338.275185377282,83.38275185377282,8.62982686148236,9,0.0
2m,2026-01-20,2026-03-20,original_composer,paper_live_style_optimistic,synthetic,ok,10000.0,23729.753214392247,137.2975321439225,14.56310652643767,22987.489475067443,2.3170032700423624,16,23729.753214392247,137.2975321439225,14.56310652643767,16,0.0
3m,2025-12-20,2026-03-20,original_composer,paper_live_style_optimistic,synthetic,ok,10000.0,18372.504893339552,83.72504893339551,35.99999861283735,1185.439669890597,1.2214842039459286,18,18372.504893339552,83.72504893339551,35.99999861283735,18,0.0
6m,2025-09-20,2026-03-20,original_composer,paper_live_style_optimistic,synthetic,ok,10000.0,20501.540933091717,105.01540933091715,39.11872168216417,336.29013967458314,0.7951626705780059,30,20501.540933091717,105.01540933091715,39.11872168216417,30,0.0
1y,2025-03-20,2026-03-20,original_composer,paper_live_style_optimistic,synthetic,ok,10000.0,33365.46400859637,233.65464008596368,39.11872168216416,235.03810675501623,0.6296658847101191,227,33365.46400859637,233.65464008596368,39.11872168216416,226,0.0
2y,2024-03-20,2026-03-20,original_composer,paper_live_style_optimistic,synthetic,ok,10000.0,23267.17330230994,132.6717330230994,62.26758364263601,52.668388210939156,0.3273691565287233,434,23267.173302309904,132.67173302309905,62.26758364263601,433,1.5635671595442745e-11
3y,2023-03-20,2026-03-20,original_composer,paper_live_style_optimistic,synthetic,ok,10000.0,11350.894215749408,13.508942157494076,84.61281764558515,4.31720027796334,0.1687158723197225,461,11350.894215749408,13.508942157494076,84.61281764558515,462,0.0
5y,2021-03-20,2026-03-20,original_composer,paper_live_style_optimistic,synthetic,ok,10000.0,15010.157708886672,50.10157708886673,88.19804719912533,8.477568527658041,0.1786877728172939,1026,15010.157708886672,50.10157708886673,88.19804719912533,1024,0.0
10y,2016-03-20,2026-03-20,original_composer,paper_live_style_optimistic,synthetic,ok,10000.0,3227.0242501543894,-67.72975749845611,95.13627913586815,-10.701003356276217,0.09308884046378828,1396,3227.0242501543794,-67.7297574984562,95.13627913586816,1381,3.100206550670814e-11
