Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Window Index,Window Period
2024-10-08,6643.399449293955,SOXL,08:00,TQQQ -> TQQQ,15:55,TQQQ,SOXL,6781.318597614527,137.91914832057228,2.0760327506007537,5.759036458203356,6,2024-09-10 to 2024-10-10
2024-10-09,6781.318597614527,SOXL,no change,no change,no change,no change,SOXL,6943.417495602118,162.09889798759104,2.390374315175414,3.506324671326426,6,2024-09-10 to 2024-10-10
2024-10-10,6943.417495602118,SOXL,08:40,TQQQ -> TQQQ,15:55,TQQQ,SOXL,6830.837110364109,-112.5803852380086,-1.6213973206899324,5.070870537740779,6,2024-09-10 to 2024-10-10
2024-10-10,6830.837110364109,CASH,no change,no change,"15:55, 15:55, 15:55","SOXL, SPXL, TQQQ",SOXL,6830.154094954614,-0.6830154094950558,-0.00999900009998056,0.009999000099984064,7,2024-10-10 to 2024-11-10
2024-10-11,6830.154094954614,SOXL,no change,no change,no change,no change,SOXL,6940.057320827307,109.90322587269293,1.6090885263317478,0.0,7,2024-10-10 to 2024-11-10
2024-10-14,6940.057320827307,SOXL,11:01,TQQQ -> TQQQ,15:55,TQQQ,SOXL,7148.970049310032,208.91272848272456,3.0102449997894354,0.0,7,2024-10-10 to 2024-11-10
2024-10-15,7148.970049310032,SOXL,10:29,TQQQ -> SOXS,15:55,SOXS,SOXS,6644.909358267118,-504.0606910429142,-7.050815537988752,7.050815537988757,7,2024-10-10 to 2024-11-10
2024-10-16,6644.909358267118,SOXS,no change,no change,no change,no change,SOXS,6616.171163060773,-28.738195206344244,-0.4324843825084024,7.452806244455877,7,2024-10-10 to 2024-11-10
2024-10-17,6616.171163060773,SOXS,no change,no change,no change,no change,SOXS,6421.291086787759,-194.8800762730143,-2.9455114063714594,10.178794392802125,7,2024-10-10 to 2024-11-10
2024-10-18,6421.291086787759,SOXS,no change,no change,no change,no change,SOXS,6472.5082943448115,51.21720755705246,0.7976154151060788,9.46236661084498,7,2024-10-10 to 2024-11-10
2024-10-21,6472.5082943448115,SOXS,no change,no change,no change,no change,SOXS,6508.6906852174025,36.182390872590986,0.5590165238444689,8.95624627990188,7,2024-10-10 to 2024-11-10
2024-10-22,6508.6906852174025,SOXS,no change,no change,no change,no change,SOXS,6524.69541968754,16.00473447013792,0.2458979116412463,8.732371590824359,7,2024-10-10 to 2024-11-10
2024-10-23,6524.69541968754,SOXS,no change,no change,no change,no change,SOXS,6762.4464278166815,237.75100812914116,3.6438637029976073,5.406703606635682,7,2024-10-10 to 2024-11-10
2024-10-24,6762.4464278166815,SOXS,no change,no change,no change,no change,SOXS,6644.989652815723,-117.45677500095826,-1.7368976782989543,7.049692375518473,7,2024-10-10 to 2024-11-10
2024-10-25,6644.989652815723,SOXS,no change,no change,no change,no change,SOXS,6429.44553225785,-215.5441205578736,-3.2437088967706584,10.064729773509479,7,2024-10-10 to 2024-11-10
2024-10-28,6429.44553225785,SOXS,no change,no change,no change,no change,SOXS,6440.527932758125,11.082400500275071,0.17236945930518832,9.90970883449541,7,2024-10-10 to 2024-11-10
2024-10-29,6440.527932758125,SOXS,no change,no change,no change,no change,SOXS,5990.34920984924,-450.178722908885,-6.989779838065202,16.206821842436085,7,2024-10-10 to 2024-11-10
2024-10-30,5990.34920984924,SOXS,no change,no change,no change,no change,SOXS,6590.733126230606,600.3839163813664,10.02251947840076,7.808634240023187,7,2024-10-10 to 2024-11-10
2024-10-31,6590.733126230606,SOXS,no change,no change,no change,no change,SOXS,7340.979480407764,750.2463541771576,11.383352046090822,0.0,7,2024-10-10 to 2024-11-10
2024-11-01,7340.979480407764,SOXS,no change,no change,no change,no change,SOXS,7165.363184582729,-175.61629582503429,-2.3922733511752003,2.392273351175196,7,2024-10-10 to 2024-11-10
