timestamp,gpu_util_pct,mem_used_mb,mem_total_mb
2026-03-28T01:53:11-0400,0, 26, 16311
2026-03-28T01:53:12-0400,0, 26, 16311
2026-03-28T01:53:13-0400,0, 26, 16311
2026-03-28T01:53:15-0400,0, 26, 16311
2026-03-28T01:53:16-0400,0, 26, 16311
2026-03-28T01:53:17-0400,0, 26, 16311
2026-03-28T01:53:18-0400,0, 26, 16311
2026-03-28T01:53:19-0400,0, 26, 16311
2026-03-28T01:53:20-0400,0, 26, 16311
2026-03-28T01:53:21-0400,0, 26, 16311
2026-03-28T01:53:22-0400,0, 26, 16311
2026-03-28T01:53:23-0400,0, 26, 16311
2026-03-28T01:53:24-0400,0, 26, 16311
2026-03-28T01:53:25-0400,0, 26, 16311
2026-03-28T01:53:26-0400,0, 26, 16311
2026-03-28T01:53:27-0400,0, 26, 16311
2026-03-28T01:53:28-0400,0, 26, 16311
2026-03-28T01:53:29-0400,0, 26, 16311
2026-03-28T01:53:30-0400,0, 26, 16311
2026-03-28T01:53:31-0400,0, 26, 16311
2026-03-28T01:53:32-0400,0, 26, 16311
2026-03-28T01:53:33-0400,0, 26, 16311
2026-03-28T01:53:34-0400,0, 26, 16311
2026-03-28T01:53:35-0400,0, 26, 16311
2026-03-28T01:53:36-0400,0, 26, 16311
2026-03-28T01:53:37-0400,0, 26, 16311
2026-03-28T01:53:38-0400,0, 26, 16311
2026-03-28T01:53:40-0400,0, 26, 16311
2026-03-28T01:53:41-0400,0, 26, 16311
2026-03-28T01:53:42-0400,0, 26, 16311
2026-03-28T01:53:43-0400,0, 26, 16311
2026-03-28T01:53:44-0400,0, 26, 16311
2026-03-28T01:53:45-0400,0, 26, 16311
2026-03-28T01:53:46-0400,0, 26, 16311
2026-03-28T01:53:47-0400,0, 26, 16311
2026-03-28T01:53:48-0400,0, 26, 16311
2026-03-28T01:53:49-0400,0, 26, 16311
2026-03-28T01:53:50-0400,0, 26, 16311
2026-03-28T01:53:51-0400,0, 26, 16311
2026-03-28T01:53:52-0400,0, 26, 16311
2026-03-28T01:53:53-0400,0, 26, 16311
2026-03-28T01:53:54-0400,0, 26, 16311
2026-03-28T01:53:55-0400,0, 26, 16311
2026-03-28T01:53:56-0400,0, 26, 16311
2026-03-28T01:53:57-0400,0, 26, 16311
2026-03-28T01:53:58-0400,0, 26, 16311
2026-03-28T01:53:59-0400,0, 26, 16311
2026-03-28T01:54:00-0400,0, 26, 16311
2026-03-28T01:54:01-0400,0, 26, 16311
2026-03-28T01:54:02-0400,0, 26, 16311
2026-03-28T01:54:03-0400,0, 26, 16311
2026-03-28T01:54:04-0400,0, 26, 16311
2026-03-28T01:54:06-0400,0, 26, 16311
2026-03-28T01:54:07-0400,0, 26, 16311
2026-03-28T01:54:08-0400,0, 26, 16311
2026-03-28T01:54:09-0400,0, 26, 16311
2026-03-28T01:54:10-0400,0, 26, 16311
2026-03-28T01:54:11-0400,0, 26, 16311
2026-03-28T01:54:12-0400,0, 26, 16311
2026-03-28T01:54:13-0400,0, 26, 16311
2026-03-28T01:54:14-0400,0, 26, 16311
2026-03-28T01:54:15-0400,0, 26, 16311
2026-03-28T01:54:16-0400,0, 26, 16311
2026-03-28T01:54:17-0400,0, 26, 16311
2026-03-28T01:54:18-0400,0, 26, 16311
2026-03-28T01:54:19-0400,0, 26, 16311
2026-03-28T01:54:20-0400,0, 26, 16311
2026-03-28T01:54:21-0400,0, 26, 16311
2026-03-28T01:54:22-0400,0, 26, 16311
2026-03-28T01:54:23-0400,0, 26, 16311
2026-03-28T01:54:24-0400,0, 26, 16311
2026-03-28T01:54:25-0400,0, 26, 16311
2026-03-28T01:54:26-0400,0, 26, 16311
2026-03-28T01:54:27-0400,0, 26, 16311
2026-03-28T01:54:28-0400,0, 26, 16311
2026-03-28T01:54:29-0400,0, 26, 16311
2026-03-28T01:54:31-0400,0, 26, 16311
2026-03-28T01:54:32-0400,0, 26, 16311
2026-03-28T01:54:33-0400,0, 26, 16311
2026-03-28T01:54:34-0400,0, 26, 16311
2026-03-28T01:54:35-0400,0, 26, 16311
2026-03-28T01:54:36-0400,0, 26, 16311
2026-03-28T01:54:37-0400,0, 26, 16311
2026-03-28T01:54:38-0400,0, 26, 16311
2026-03-28T01:54:39-0400,0, 26, 16311
2026-03-28T01:54:40-0400,0, 26, 16311
2026-03-28T01:54:41-0400,0, 26, 16311
2026-03-28T01:54:42-0400,0, 26, 16311
2026-03-28T01:54:43-0400,0, 26, 16311
2026-03-28T01:54:44-0400,0, 26, 16311
2026-03-28T01:54:45-0400,0, 26, 16311
2026-03-28T01:54:46-0400,0, 26, 16311
2026-03-28T01:54:47-0400,0, 26, 16311
2026-03-28T01:54:48-0400,0, 26, 16311
2026-03-28T01:54:49-0400,0, 26, 16311
2026-03-28T01:54:50-0400,0, 26, 16311
2026-03-28T01:54:51-0400,0, 26, 16311
2026-03-28T01:54:52-0400,0, 26, 16311
