Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %
2024-11-13,10516.94,SOXS,no change,no change,no change,no change,SOXS,11219.51,702.58,6.68,37.32
2024-11-14,11219.51,SOXS,no change,no change,no change,no change,SOXS,11214.67,-4.85,-0.04,37.35
2024-11-15,11214.67,SOXS,no change,no change,no change,no change,SOXS,12316.28,1101.61,9.82,31.2
2024-11-18,12316.28,SOXS,no change,no change,no change,no change,SOXS,11860.95,-455.33,-3.7,33.74
2024-11-19,11860.95,SOXS,no change,no change,15:55,SOXL,SOXL,11796.11,-64.84,-0.55,34.1
2024-11-20,11796.11,SOXL,no change,no change,no change,no change,SOXL,11527.75,-268.36,-2.28,35.6
2024-11-21,11527.75,SOXL,no change,no change,no change,no change,SOXL,12068.45,540.7,4.69,32.58
2024-11-22,12068.45,SOXL,no change,no change,no change,no change,SOXL,12110.96,42.51,0.35,32.34
2024-11-25,12110.96,SOXL,no change,no change,no change,no change,SOXL,12441.4,330.45,2.73,30.5
2024-11-26,12441.4,SOXL,no change,no change,no change,no change,SOXL,11936.21,-505.2,-4.06,33.32
2024-11-27,11936.21,SOXL,no change,no change,no change,no change,SOXL,11471.92,-464.29,-3.89,35.91
2024-11-29,11471.92,SOXL,no change,no change,no change,no change,SOXL,11913.84,441.92,3.85,33.44
2024-12-02,11913.84,SOXL,14:08,SOXL,15:55,SOXL,SOXL,12798.9,885.07,7.43,28.5
2024-12-03,12798.9,SOXL,no change,no change,no change,no change,SOXL,12566.32,-232.58,-1.82,29.8
2024-12-04,12566.32,SOXL,no change,no change,no change,no change,SOXL,13089.5,523.18,4.16,26.88
2024-12-05,13089.5,SOXL,no change,no change,no change,no change,SOXL,12292.94,-796.56,-6.09,31.33
2024-12-06,12292.94,SOXL,no change,no change,no change,no change,SOXL,12557.4,264.46,2.15,29.85
2024-12-09,12557.4,SOXL,no change,no change,no change,no change,SOXL,12359.0,-198.39,-1.58,30.96
2024-12-10,12359.0,SOXL,no change,no change,no change,no change,SOXL,11467.74,-891.26,-7.21,35.94
2024-12-11,11467.74,SOXL,16:15,SOXL,15:55,SOXS,SOXS,12269.41,801.67,6.99,31.46
2024-12-12,12269.41,SOXS,no change,no change,15:55,SOXL,SOXL,12601.27,331.86,2.7,29.6
2024-12-13,12601.27,SOXL,10:19,SOXL,15:55,SOXL,SOXL,13618.57,1017.3,8.07,23.92
2024-12-16,13618.57,SOXL,no change,no change,15:55,SOXS,SOXS,14404.19,785.63,5.77,19.53
2024-12-17,14404.19,SOXS,no change,no change,15:55,SOXL,SOXL,15064.48,660.29,4.58,15.84
2024-12-18,15064.48,SOXL,no change,no change,15:55,SOXS,SOXS,13564.73,-1499.75,-9.96,24.22
2024-12-19,13564.73,SOXS,no change,no change,no change,no change,SOXS,14348.48,783.75,5.78,19.84
2024-12-20,14348.48,SOXS,no change,no change,no change,no change,SOXS,13819.1,-529.38,-3.69,22.8
2024-12-23,13819.1,SOXS,09:42,SOXS,15:55,SOXL,SOXL,12924.6,-894.5,-6.47,27.8
