Variant,Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-02,25636.12,SOXL,10:20,SOXL,15:55,SOXL,SOXL,28461.28,2825.16,11.02,11.93,46.96,47.24
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-05,28461.28,SOXL,no change,no change,no change,no change,SOXL,29527.68,1066.39,3.75,8.63,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-06,29527.68,SOXL,no change,no change,no change,no change,SOXL,32600.34,3072.66,10.41,0.0,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-07,32600.34,SOXL,no change,no change,no change,no change,SOXL,31423.99,-1176.35,-3.61,3.61,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-08,31423.99,SOXL,no change,no change,no change,no change,SOXL,29910.25,-1513.74,-4.82,8.25,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-09,29910.25,SOXL,no change,no change,no change,no change,SOXL,32672.64,2762.38,9.24,0.0,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-12,32672.64,SOXL,no change,no change,no change,no change,SOXL,33067.26,394.63,1.21,0.0,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-13,33067.26,SOXL,no change,no change,no change,no change,SOXL,33745.05,677.79,2.05,0.0,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-14,33745.05,SOXL,no change,no change,no change,no change,SOXL,33241.98,-503.07,-1.49,1.49,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-15,33241.98,SOXL,09:37,SOXL,15:55,SOXL,SOXL,36141.91,2899.93,8.72,0.0,60.131,58.19
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-16,36141.91,SOXL,no change,no change,no change,no change,SOXL,37719.51,1577.6,4.37,0.0,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-20,37719.51,SOXL,no change,no change,no change,no change,SOXL,36095.33,-1624.18,-4.31,4.31,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-21,36095.33,SOXL,11:42,SOXL,15:55,SOXL,SOXL,39053.46,2958.13,8.2,0.0,63.125,63.6
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-22,39053.46,SOXL,no change,no change,no change,no change,SOXL,39010.48,-42.98,-0.11,0.11,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-23,39010.48,SOXL,no change,no change,no change,no change,SOXL,37684.13,-1326.34,-3.4,3.51,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-26,37684.13,SOXL,no change,no change,no change,no change,SOXL,37260.44,-423.69,-1.12,4.59,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-27,37260.44,SOXL,no change,no change,no change,no change,SOXL,39888.56,2628.13,7.05,0.0,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-28,39888.56,SOXL,04:00,SOXL,15:55,SOXL,SOXL,42990.0,3101.43,7.78,0.0,70.78,70.055
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-29,42990.0,SOXL,no change,no change,no change,no change,SOXL,43115.8,125.8,0.29,0.0,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-30,43115.8,SOXL,no change,no change,no change,no change,SOXL,37905.82,-5209.98,-12.08,12.08,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-02,37905.82,SOXL,no change,no change,15:55,SOXS,SOXS,39865.67,1959.85,5.17,7.54,,1.8699
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-03,39865.67,SOXS,07:31,SOXS,15:55,SOXL,SOXL,37939.66,-1926.01,-4.83,12.01,1.78,60.905
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-04,37939.66,SOXL,no change,no change,15:55,SOXS,SOXS,33257.97,-4681.69,-12.34,22.86,,2.221
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-05,33257.97,SOXS,no change,no change,no change,no change,SOXS,33543.63,285.66,0.86,22.2,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-06,33543.63,SOXS,04:26,SOXS,15:55,SOXL,SOXL,31668.72,-1874.91,-5.59,26.55,2.115,61.91
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-09,31668.72,SOXL,no change,no change,no change,no change,SOXL,32771.06,1102.34,3.48,23.99,,
