engine,window,period,stop_scope,protective_stop_pct,rv_gate_min_pct,rv_gate_window,initial_equity,final_equity,return_pct,maxdd_pct,maxdd_usd,events,delta_return_vs_base_pct,delta_maxdd_vs_base_pct,delta_equity_vs_base_usd
v1,4m,2025-12-10 to 2026-04-11,inverse_only,4.0,80.0,20,10000.0,16377.921776084808,63.77921776084807,18.274369959894795,3136.6595377387594,29,5.88386556226434,-3.861540507980326,588.3865562264345
v1,5m,2025-11-09 to 2026-04-11,inverse_only,4.0,80.0,20,10000.0,21324.035430761673,113.24035430761671,18.26854448139262,4082.6252639314735,33,7.660786236186368,-3.861835566928068,766.0786236186395
v1,6m,2025-10-10 to 2026-04-11,inverse_only,4.0,80.0,20,10000.0,24937.07408871942,149.3707408871942,18.268544481392652,4774.365012368604,41,8.118722936286417,-3.86183556692799,811.8722936286431
v1,1y,2025-04-11 to 2026-04-11,inverse_only,4.0,80.0,20,10000.0,25094.618211017187,150.94618211017186,28.048396999868654,7376.575891318331,86,11.28818995108469,1.055754918373296,1128.8189951084714
v1,10d,2026-04-01 to 2026-04-11,inverse_only,5.0,0.0,20,10000.0,13062.528097340444,30.625280973404443,5.009499999999998,688.8766192790536,3,10.532219283850218,-7.659013388734993,1053.2219283850227
v1,1m,2026-03-12 to 2026-04-11,inverse_only,5.0,0.0,20,10000.0,14085.755598952379,40.85755598952379,12.744600948303278,1889.8451336078524,9,13.748924816640141,-0.006555095552469581,1374.8924816640138
v1,2m,2026-02-09 to 2026-04-11,inverse_only,5.0,0.0,20,10000.0,21834.422940565026,118.34422940565025,12.744600948303273,2929.4614441863105,18,1.5912429007013174,-0.006555095552482015,159.1242900701327
v1,3m,2026-01-09 to 2026-04-11,inverse_only,5.0,0.0,20,10000.0,19136.298200213896,91.36298200213898,13.189039618578514,2656.996174518018,26,-11.15461233704788,0.43788357472275763,-1115.4612337047874
v1,4m,2025-12-10 to 2026-04-11,inverse_only,5.0,0.0,20,10000.0,16589.761629470904,65.89761629470905,20.808636848896075,3634.1563120249957,30,8.002264096125323,-1.3272736189790457,800.2264096125309
v1,5m,2025-11-09 to 2026-04-11,inverse_only,5.0,0.0,20,10000.0,21599.85067771494,115.9985067771494,20.80291157061775,4730.365495360607,34,10.418938705719057,-1.32746847770294,1041.8938705719083
v1,6m,2025-10-10 to 2026-04-11,inverse_only,5.0,0.0,20,10000.0,21917.845714582178,119.17845714582178,20.802911570617763,4800.006381889731,42,-22.07356080508599,-1.3274684777028796,-2207.356080508598
v1,1y,2025-04-11 to 2026-04-11,inverse_only,5.0,0.0,20,10000.0,24715.50516116716,147.15505161167158,24.78639616168481,6449.15336018712,92,7.497059452584409,-2.2062459198105486,749.7059452584435
v1,10d,2026-04-01 to 2026-04-11,inverse_only,5.0,40.0,20,10000.0,13062.528097340444,30.625280973404443,5.009499999999998,688.8766192790536,3,10.532219283850218,-7.659013388734993,1053.2219283850227
v1,1m,2026-03-12 to 2026-04-11,inverse_only,5.0,40.0,20,10000.0,14085.755598952379,40.85755598952379,12.744600948303278,1889.8451336078524,9,13.748924816640141,-0.006555095552469581,1374.8924816640138
v1,2m,2026-02-09 to 2026-04-11,inverse_only,5.0,40.0,20,10000.0,21834.422940565026,118.34422940565025,12.744600948303273,2929.4614441863105,18,1.5912429007013174,-0.006555095552482015,159.1242900701327
v1,3m,2026-01-09 to 2026-04-11,inverse_only,5.0,40.0,20,10000.0,19136.298200213896,91.36298200213898,13.189039618578514,2656.996174518018,26,-11.15461233704788,0.43788357472275763,-1115.4612337047874
v1,4m,2025-12-10 to 2026-04-11,inverse_only,5.0,40.0,20,10000.0,16589.761629470904,65.89761629470905,20.808636848896075,3634.1563120249957,30,8.002264096125323,-1.3272736189790457,800.2264096125309
v1,5m,2025-11-09 to 2026-04-11,inverse_only,5.0,40.0,20,10000.0,21599.85067771494,115.9985067771494,20.80291157061775,4730.365495360607,34,10.418938705719057,-1.32746847770294,1041.8938705719083
v1,6m,2025-10-10 to 2026-04-11,inverse_only,5.0,40.0,20,10000.0,21917.845714582178,119.17845714582178,20.802911570617763,4800.006381889731,42,-22.07356080508599,-1.3274684777028796,-2207.356080508598
v1,1y,2025-04-11 to 2026-04-11,inverse_only,5.0,40.0,20,10000.0,24715.50516116716,147.15505161167158,24.78639616168481,6449.15336018712,92,7.497059452584409,-2.2062459198105486,749.7059452584435
v1,10d,2026-04-01 to 2026-04-11,inverse_only,5.0,60.0,20,10000.0,13062.528097340444,30.625280973404443,5.009499999999998,688.8766192790536,3,10.532219283850218,-7.659013388734993,1053.2219283850227
v1,1m,2026-03-12 to 2026-04-11,inverse_only,5.0,60.0,20,10000.0,14085.755598952379,40.85755598952379,12.744600948303278,1889.8451336078524,9,13.748924816640141,-0.006555095552469581,1374.8924816640138
v1,2m,2026-02-09 to 2026-04-11,inverse_only,5.0,60.0,20,10000.0,21834.422940565026,118.34422940565025,12.744600948303273,2929.4614441863105,18,1.5912429007013174,-0.006555095552482015,159.1242900701327
v1,3m,2026-01-09 to 2026-04-11,inverse_only,5.0,60.0,20,10000.0,19136.298200213896,91.36298200213898,13.189039618578514,2656.996174518018,26,-11.15461233704788,0.43788357472275763,-1115.4612337047874
v1,4m,2025-12-10 to 2026-04-11,inverse_only,5.0,60.0,20,10000.0,16589.761629470904,65.89761629470905,20.808636848896075,3634.1563120249957,30,8.002264096125323,-1.3272736189790457,800.2264096125309
