Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
2025-10-30,7543.6,SOXL,no change,no change,no change,no change,SOXL,7265.37,-278.23,-3.69,56.15,,
2025-10-31,7265.37,SOXL,no change,no change,no change,no change,SOXL,7329.51,64.14,0.88,55.76,,
2025-11-03,7329.51,SOXL,no change,no change,no change,no change,SOXL,7402.65,73.14,1.0,55.32,,
2025-11-04,7402.65,SOXL,no change,no change,no change,no change,SOXL,6521.13,-881.52,-11.91,60.64,,
2025-11-05,6521.13,SOXL,15:50,SOXL,15:55,SOXL,SOXL,7230.75,709.62,10.88,56.35,47.3901,47.255
2025-11-06,7230.75,SOXL,no change,no change,no change,no change,SOXL,6590.38,-640.37,-8.86,60.22,,
2025-11-07,6590.38,SOXL,no change,no change,no change,no change,SOXL,6306.76,-283.61,-4.3,61.93,,
2025-11-10,6306.76,SOXL,08:01,SOXL,15:55,SOXL,SOXL,6782.62,475.85,7.55,59.06,45.11,45.085
2025-11-11,6782.62,SOXL,no change,no change,no change,no change,SOXL,6289.92,-492.69,-7.26,62.03,,
2025-11-12,6289.92,SOXL,no change,no change,no change,no change,SOXL,6563.74,273.82,4.35,60.38,,
2025-11-13,6563.74,SOXL,no change,no change,no change,no change,SOXL,5887.5,-676.25,-10.3,64.46,,
2025-11-14,5887.5,SOXL,no change,no change,no change,no change,SOXL,5836.45,-51.04,-0.87,64.77,,
2025-11-17,5836.45,SOXL,no change,no change,no change,no change,SOXL,5542.23,-294.22,-5.04,66.55,,
2025-11-18,5542.23,SOXL,no change,no change,no change,no change,SOXL,5218.79,-323.45,-5.84,68.5,,
2025-11-19,5218.79,SOXL,10:48,SOXL,15:55,SOXL,SOXL,5498.11,279.32,5.35,66.81,36.5893,36.22
2025-11-20,5498.11,SOXL,04:48,SOXL,15:55,SOXL,SOXL,5815.42,317.31,5.77,64.9,38.32,30.83
2025-11-21,5815.42,SOXL,no change,no change,no change,no change,SOXL,5970.09,154.68,2.66,63.96,,
2025-11-24,5970.09,SOXL,09:50,SOXL,15:55,SOXL,SOXL,6392.89,422.8,7.08,61.41,34.08,36.125
2025-11-25,6392.89,SOXL,no change,no change,no change,no change,SOXL,6408.81,15.93,0.25,61.32,,
2025-11-26,6408.81,SOXL,15:55,SOXL,15:55,SOXL,SOXL,6960.81,552.0,8.61,57.98,39.305,39.305
2025-11-28,6960.81,SOXL,no change,no change,no change,no change,SOXL,7271.62,310.81,4.47,56.11,,
2025-12-01,7271.62,SOXL,no change,no change,no change,no change,SOXL,7334.49,62.87,0.86,55.73,,
2025-12-02,7334.49,SOXL,no change,no change,no change,no change,SOXL,7752.44,417.95,5.7,53.21,,
2025-12-03,7752.44,SOXL,no change,no change,no change,no change,SOXL,8246.54,494.1,6.37,50.22,,
2025-12-04,8246.54,SOXL,no change,no change,no change,no change,SOXL,7977.35,-269.19,-3.26,51.85,,
2025-12-05,7977.35,SOXL,no change,no change,no change,no change,SOXL,8243.0,265.65,3.33,50.24,,
2025-12-08,8243.0,SOXL,no change,no change,no change,no change,SOXL,8452.86,209.86,2.55,48.98,,
2025-12-09,8452.86,SOXL,no change,no change,no change,no change,SOXL,8474.11,21.25,0.25,48.85,,
2025-12-10,8474.11,SOXL,no change,no change,no change,no change,SOXL,8830.96,356.85,4.21,46.7,,
2025-12-11,8830.96,SOXL,no change,no change,no change,no change,SOXL,8598.96,-232.0,-2.63,48.1,,
2025-12-12,8598.96,SOXL,no change,no change,no change,no change,SOXL,7380.53,-1218.43,-14.17,55.45,,
2025-12-15,7380.53,SOXL,no change,no change,no change,no change,SOXL,7267.19,-113.34,-1.54,56.13,,
2025-12-16,7267.19,SOXL,no change,no change,no change,no change,SOXL,7213.18,-54.01,-0.74,56.46,,
2025-12-17,7213.18,SOXL,no change,no change,no change,no change,SOXL,6351.6,-861.58,-11.94,61.66,,
2025-12-18,6351.6,SOXL,09:39,SOXL,15:55,SOXL,SOXL,7013.05,661.45,10.41,57.67,39.7897,38.7725
2025-12-19,7013.05,SOXL,10:21,SOXL,15:55,SOXL,SOXL,7478.85,465.8,6.64,54.86,41.345,41.86
2025-12-22,7478.85,SOXL,no change,no change,no change,no change,SOXL,7710.39,231.55,3.1,53.46,,
