Date,runtime_switch_loop_v1 Day End Equity,runtime_switch_loop_v1 PnL ($),runtime_switch_loop_v1 Return %,runtime_switch_loop_v1 Drawdown %,runtime_switch_loop_v2_controlplane Day End Equity,runtime_switch_loop_v2_controlplane PnL ($),runtime_switch_loop_v2_controlplane Return %,runtime_switch_loop_v2_controlplane Drawdown %,FEV1-0001 Day End Equity,FEV1-0001 PnL ($),FEV1-0001 Return %,FEV1-0001 Drawdown %
2025-10-08,11607.04,1058.39,10.03,21.07,18453.61,1682.69,10.03,0.0,18453.61,1682.69,10.03,0.0
2025-10-09,11414.6,-192.43,-1.66,22.37,18147.67,-305.94,-1.66,1.66,18147.67,-305.94,-1.66,1.66
2025-10-10,9357.45,-2057.15,-18.02,36.36,14877.08,-3270.59,-18.02,19.38,14877.08,-3270.59,-18.02,19.38
2025-10-13,10141.75,784.3,8.38,31.03,16124.0,1246.92,8.38,12.62,16124.0,1246.92,8.38,12.62
2025-10-14,10804.44,662.69,6.53,26.52,15090.12,-1033.88,-6.41,18.23,15090.12,-1033.88,-6.41,18.23
2025-10-15,9865.56,-938.88,-8.69,32.91,16014.28,924.16,6.12,13.22,16014.28,924.16,6.12,13.22
2025-10-16,9685.2,-180.36,-1.83,34.14,16292.03,277.75,1.73,11.71,16292.03,277.75,1.73,11.71
2025-10-17,9780.69,95.49,0.99,33.49,16179.34,-112.69,-0.69,12.32,16179.34,-112.69,-0.69,12.32
2025-10-20,9222.95,-557.73,-5.7,37.28,17073.31,893.97,5.53,7.48,17073.31,893.97,5.53,7.48
2025-10-21,9396.35,173.4,1.88,36.1,16764.93,-308.37,-1.81,9.15,16764.93,-308.37,-1.81,9.15
2025-10-22,10177.28,780.93,8.31,30.79,15377.36,-1387.58,-8.28,16.67,15377.36,-1387.58,-8.28,16.67
2025-10-23,9372.76,-804.52,-7.91,36.26,14158.93,-1218.43,-7.92,23.27,14158.93,-1218.43,-7.92,23.27
2025-10-24,8892.44,-480.31,-5.12,39.53,14919.4,760.48,5.37,19.15,14919.4,760.48,5.37,19.15
2025-10-27,8159.23,-733.21,-8.25,44.51,15864.44,945.04,6.33,14.03,15864.44,945.04,6.33,14.03
2025-10-28,8146.46,-12.77,-0.16,44.6,15906.69,42.25,0.27,13.8,15906.69,42.25,0.27,13.8
2025-10-29,7726.51,-419.95,-5.15,47.46,16810.81,904.12,5.68,8.9,16810.81,904.12,5.68,8.9
2025-10-30,8014.92,288.41,3.73,45.49,16190.78,-620.04,-3.69,12.26,16190.78,-620.04,-3.69,12.26
2025-10-31,7943.96,-70.97,-0.89,45.98,16333.71,142.93,0.88,11.49,16333.71,142.93,0.88,11.49
2025-11-03,7872.23,-71.73,-0.9,46.46,16496.7,163.0,1.0,10.6,16496.7,163.0,1.0,10.6
2025-11-04,8805.67,933.45,11.86,40.12,14532.24,-1964.46,-11.91,21.25,14532.24,-1964.46,-11.91,21.25
2025-11-05,9763.9,958.22,10.88,33.6,16113.63,1581.38,10.88,12.68,16113.63,1581.38,10.88,12.68
