Variant,Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
G1-570248,2025-04-30,9515.94,TMV,no change,no change,15:55,SPXL,SPXL,9617.37,101.42,1.07,13.16,,129.27
G1-570248,2025-05-01,9617.37,SPXL,no change,no change,no change,no change,SPXL,9793.07,175.7,1.83,11.57,,
G1-570248,2025-05-02,9793.07,SPXL,no change,no change,no change,no change,SPXL,10159.53,366.47,3.74,8.26,,
G1-570248,2025-05-05,10159.53,SPXL,no change,no change,no change,no change,SPXL,9976.25,-183.28,-1.8,9.92,,
G1-570248,2025-05-06,9976.25,SPXL,no change,no change,15:55,SPXS,SPXS,9784.84,-191.41,-1.92,11.64,,6.375
G1-570248,2025-05-07,9784.84,SPXS,no change,no change,no change,no change,SPXS,9715.49,-69.35,-0.71,12.27,,
G1-570248,2025-05-08,9715.49,SPXS,no change,no change,15:55,SPXL,SPXL,9521.66,-193.83,-2.0,14.02,,135.1099
G1-570248,2025-05-09,9521.66,SPXL,no change,no change,15:55,SOXL,SOXL,9476.39,-45.27,-0.48,14.43,,14.0724
G1-570248,2025-05-12,9476.39,SOXL,04:00,SOXL,15:55,SOXL,SOXL,10837.27,1360.88,14.36,2.14,16.43,17.095
G1-570248,2025-05-13,10837.27,SOXL,13:59,SOXL,15:55,SOXL,SOXL,11687.21,849.94,7.84,0.0,18.46,18.5999
G1-570248,2025-05-14,11687.21,SOXL,no change,no change,15:55,TQQQ,TQQQ,11801.65,114.43,0.98,0.0,,70.39
G1-570248,2025-05-15,11801.65,TQQQ,08:00,TQQQ,15:55,TQQQ,TQQQ,11528.47,-273.17,-2.31,2.31,69.2,70.19
G1-570248,2025-05-16,11528.47,TQQQ,10:44,TQQQ,15:55,SPXL,SPXL,11477.5,-50.97,-0.44,2.75,69.703,156.06
G1-570248,2025-05-19,11477.5,SPXL,no change,no change,no change,no change,SPXL,11509.38,31.88,0.28,2.48,,
G1-570248,2025-05-20,11509.38,SPXL,no change,no change,no change,no change,SPXL,11362.0,-147.38,-1.28,3.73,,
G1-570248,2025-05-21,11362.0,SPXL,no change,no change,no change,no change,SPXL,10862.17,-499.83,-4.4,7.96,,
G1-570248,2025-05-22,10862.17,SPXL,no change,no change,no change,no change,SPXL,10835.28,-26.89,-0.25,8.19,,
G1-570248,2025-05-23,10835.28,SPXL,no change,no change,no change,no change,SPXL,10575.39,-259.89,-2.4,10.39,,
G1-570248,2025-05-27,10575.39,SPXL,no change,no change,no change,no change,SPXL,11227.4,652.01,6.17,4.87,,
G1-570248,2025-05-28,11227.4,SPXL,no change,no change,no change,no change,SPXL,11048.13,-179.27,-1.6,6.38,,
G1-570248,2025-05-29,11048.13,SPXL,no change,no change,15:55,SOXL,SOXL,11147.85,99.72,0.9,5.54,,17.105
G1-570248,2025-05-30,11147.85,SOXL,no change,no change,15:55,SPXL,SPXL,10580.02,-567.83,-5.09,10.35,,152.35
G1-570248,2025-06-02,10580.02,SPXL,no change,no change,no change,no change,SPXL,10653.63,73.61,0.7,9.73,,
G1-570248,2025-06-03,10653.63,SPXL,no change,no change,15:55,SOXL,SOXL,10875.14,221.51,2.08,7.85,,18.32
G1-570248,2025-06-04,10875.14,SOXL,no change,no change,no change,no change,SOXL,11312.99,437.85,4.03,4.14,,
G1-570248,2025-06-05,11312.99,SOXL,no change,no change,no change,no change,SOXL,11262.0,-50.99,-0.45,4.57,,
G1-570248,2025-06-06,11262.0,SOXL,no change,no change,no change,no change,SOXL,11431.9,169.9,1.51,3.13,,
G1-570248,2025-06-09,11431.9,SOXL,10:57,SOXL,15:55,SOXL,SOXL,12228.63,796.73,6.97,0.0,20.6194,20.595
G1-570248,2025-06-10,12228.63,SOXL,no change,no change,no change,no change,SOXL,12975.89,747.26,6.11,0.0,,
G1-570248,2025-06-11,12975.89,SOXL,no change,no change,no change,no change,SOXL,12812.36,-163.54,-1.26,1.26,,
G1-570248,2025-06-12,12812.36,SOXL,no change,no change,no change,no change,SOXL,12892.59,80.23,0.63,0.64,,
G1-570248,2025-06-13,12892.59,SOXL,no change,no change,no change,no change,SOXL,11868.47,-1024.12,-7.94,8.53,,
G1-570248,2025-06-16,11868.47,SOXL,18:51,SOXL,15:55,SOXL,SOXL,12897.03,1028.56,8.67,0.61,21.72,21.925
G1-570248,2025-06-17,12897.03,SOXL,no change,no change,no change,no change,SOXL,12622.65,-274.38,-2.13,2.72,,
G1-570248,2025-06-18,12622.65,SOXL,no change,no change,no change,no change,SOXL,12670.02,47.36,0.38,2.36,,
G1-570248,2025-06-20,12670.02,SOXL,no change,no change,15:55,TMF,TMF,12466.77,-203.25,-1.6,3.92,,37.3362
G1-570248,2025-06-23,12466.77,TMF,no change,no change,no change,no change,TMF,12620.28,153.51,1.23,2.74,,
G1-570248,2025-06-24,12620.28,TMF,no change,no change,15:55,SOXL,SOXL,12911.47,291.2,2.31,0.5,,24.0
G1-570248,2025-06-25,12911.47,SOXL,no change,no change,no change,no change,SOXL,13204.81,293.34,2.27,0.0,,
G1-570248,2025-06-26,13204.81,SOXL,no change,no change,no change,no change,SOXL,13519.72,314.91,2.38,0.0,,
G1-570248,2025-06-27,13519.72,SOXL,no change,no change,no change,no change,SOXL,13457.78,-61.94,-0.46,0.46,,
G1-570248,2025-06-30,13457.78,SOXL,no change,no change,no change,no change,SOXL,13506.69,48.9,0.36,0.1,,
G1-570248,2025-07-01,13506.69,SOXL,no change,no change,no change,no change,SOXL,13347.41,-159.28,-1.18,1.27,,
G1-570248,2025-07-02,13347.41,SOXL,no change,no change,no change,no change,SOXL,14028.25,680.84,5.1,0.0,,
G1-570248,2025-07-03,14028.25,SOXL,no change,no change,no change,no change,SOXL,14176.22,147.97,1.05,0.0,,
G1-570248,2025-07-07,14176.22,SOXL,no change,no change,no change,no change,SOXL,13449.63,-726.6,-5.13,5.13,,
G1-570248,2025-07-08,13449.63,SOXL,no change,no change,no change,no change,SOXL,14222.0,772.37,5.74,0.0,,
G1-570248,2025-07-09,14222.0,SOXL,no change,no change,no change,no change,SOXL,14305.5,83.5,0.59,0.0,,
G1-570248,2025-07-10,14305.5,SOXL,no change,no change,no change,no change,SOXL,14735.99,430.49,3.01,0.0,,
G1-570248,2025-07-11,14735.99,SOXL,no change,no change,no change,no change,SOXL,14714.45,-21.54,-0.15,0.15,,
G1-570248,2025-07-14,14714.45,SOXL,no change,no change,no change,no change,SOXL,14240.85,-473.6,-3.22,3.36,,
G1-570248,2025-07-15,14240.85,SOXL,no change,no change,no change,no change,SOXL,14762.87,522.02,3.67,0.0,,
G1-570248,2025-07-16,14762.87,SOXL,no change,no change,no change,no change,SOXL,14493.82,-269.05,-1.82,1.82,,
G1-570248,2025-07-17,14493.82,SOXL,no change,no change,no change,no change,SOXL,14709.13,215.31,1.49,0.36,,
G1-570248,2025-07-18,14709.13,SOXL,no change,no change,no change,no change,SOXL,14733.29,24.16,0.16,0.2,,
G1-570248,2025-07-21,14733.29,SOXL,no change,no change,no change,no change,SOXL,14806.01,72.72,0.49,0.0,,
G1-570248,2025-07-22,14806.01,SOXL,no change,no change,no change,no change,SOXL,14176.15,-629.86,-4.25,4.25,,
G1-570248,2025-07-23,14176.15,SOXL,no change,no change,15:55,SOXS,SOXS,13783.34,-392.81,-2.77,6.91,,7.62
G1-570248,2025-07-24,13783.34,SOXS,no change,no change,no change,no change,SOXS,13796.18,12.84,0.09,6.82,,
G1-570248,2025-07-25,13796.18,SOXS,no change,no change,no change,no change,SOXS,13846.88,50.7,0.37,6.48,,
G1-570248,2025-07-28,13846.88,SOXS,no change,no change,15:55,SOXL,SOXL,13063.67,-783.21,-5.66,11.77,,26.965
G1-570248,2025-07-29,13063.67,SOXL,no change,no change,no change,no change,SOXL,13124.26,60.59,0.46,11.36,,
G1-570248,2025-07-30,13124.26,SOXL,no change,no change,no change,no change,SOXL,13358.02,233.76,1.78,9.78,,
G1-570248,2025-07-31,13358.02,SOXL,no change,no change,15:55,SOXS,SOXS,12031.48,-1326.54,-9.93,18.74,,7.7652
G1-570248,2025-08-01,12031.48,SOXS,no change,no change,no change,no change,SOXS,12403.14,371.66,3.09,16.23,,
G1-570248,2025-08-04,12403.14,SOXS,no change,no change,no change,no change,SOXS,11938.3,-464.84,-3.75,19.37,,
G1-570248,2025-08-05,11938.3,SOXS,no change,no change,15:55,SOXL,SOXL,12114.07,175.77,1.47,18.18,,24.63
G1-570248,2025-08-06,12114.07,SOXL,no change,no change,no change,no change,SOXL,11767.22,-346.85,-2.86,20.52,,
G1-570248,2025-08-07,11767.22,SOXL,no change,no change,no change,no change,SOXL,12281.39,514.18,4.37,17.05,,
G1-570248,2025-08-08,12281.39,SOXL,no change,no change,no change,no change,SOXL,12647.96,366.56,2.98,14.58,,
G1-570248,2025-08-11,12647.96,SOXL,no change,no change,no change,no change,SOXL,12529.89,-118.06,-0.93,15.37,,
G1-570248,2025-08-12,12529.89,SOXL,no change,no change,no change,no change,SOXL,13804.25,1274.35,10.17,6.77,,
