Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
2025-05-13,9412.89,SPXL,13:56,SOXL,15:55,SOXL,SOXL,9911.27,498.38,5.29,8.12,18.485,18.5999
2025-05-14,9911.27,SOXL,no change,no change,no change,no change,TQQQ,10010.18,98.91,1.0,7.21,,
2025-05-15,10010.18,TQQQ,08:00,TQQQ,15:55,TQQQ,TQQQ,9888.24,-121.94,-1.22,8.34,69.2,70.19
2025-05-16,9888.24,TQQQ,10:41,TQQQ,15:55,TQQQ,SPXL,9950.9,62.66,0.63,7.76,70.075,71.3701
2025-05-19,9950.9,SPXL,12:10,TQQQ,15:55,TQQQ,SPXL,9819.53,-131.37,-1.32,8.97,70.86,71.48
2025-05-20,9819.53,SPXL,14:28,TQQQ,15:55,TQQQ,SPXL,9695.2,-124.33,-1.27,10.13,69.91,70.71
2025-05-21,9695.2,SPXL,08:00,TQQQ,15:55,TQQQ,SPXL,9309.26,-385.94,-3.98,13.7,69.9488,68.12
2025-05-22,9309.26,SPXL,07:59,TQQQ,15:55,TQQQ,SPXL,9190.37,-118.89,-1.28,14.81,67.33,68.3603
2025-05-23,9190.37,SPXL,07:20,TQQQ,15:55,TQQQ,SPXL,8911.47,-278.9,-3.03,17.39,67.4,66.1983
2025-05-27,8911.47,SPXL,15:31,SOXL,15:55,SOXL,SPXL,9455.65,544.19,6.11,12.35,17.11,17.215
2025-05-28,9455.65,SPXL,14:52,TQQQ,15:55,TQQQ,SPXL,9349.87,-105.79,-1.12,13.33,70.74,70.02
2025-05-29,9349.87,SOXL,07:24,SOXL,15:55,SOXL,SOXL,9753.33,403.47,4.32,9.59,18.26,17.105
2025-05-30,9753.33,TQQQ,08:11,TQQQ,15:55,TQQQ,SPXL,9549.78,-203.55,-2.09,11.47,68.9,70.4101
2025-06-02,9549.78,SPXL,09:53,TQQQ,15:55,TQQQ,SPXL,9637.75,87.97,0.92,10.66,69.51,71.3913
2025-06-03,9637.75,SPXL,14:03,SOXL,15:55,SOXL,SPXL,10007.1,369.36,3.83,7.23,17.995,18.32
2025-06-04,10007.1,SOXL,10:08,TQQQ,15:55,TQQQ,SOXL,10112.25,105.14,1.05,6.26,72.8646,73.9
2025-06-05,10112.25,SOXL,08:49,TQQQ,15:55,TQQQ,SOXL,10040.74,-71.5,-0.71,6.92,74.78,72.28
2025-06-06,10040.74,SOXL,no change,no change,no change,no change,SOXL,10291.52,250.77,2.5,4.6,,
2025-06-09,10291.52,SOXL,10:55,SOXL,15:55,SOXL,SOXL,10570.66,279.14,2.71,2.01,20.67,20.595
2025-06-10,10570.66,SOXL,08:00,TQQQ,15:55,TQQQ,SOXL,10808.93,238.27,2.25,0.0,74.12,75.905
2025-06-11,10808.93,SOXL,09:46,TQQQ,15:55,TQQQ,SOXL,10731.87,-77.07,-0.71,0.71,75.62,75.15
2025-06-12,10731.87,SOXL,19:59,TQQQ,15:55,TQQQ,SOXL,10756.77,24.91,0.23,0.48,74.1983,75.478
2025-06-13,10756.77,SOXL,08:03,TQQQ,15:55,TQQQ,SOXL,10164.54,-592.23,-5.51,5.96,73.01,72.4374
2025-06-16,10164.54,SOXL,14:50,SOXL,15:55,SOXL,SOXL,10685.34,520.8,5.12,1.14,21.79,21.925
2025-06-17,10685.34,SOXL,13:46,TQQQ,15:55,TQQQ,SOXL,10441.29,-244.06,-2.28,3.4,73.97,73.665
2025-06-18,10441.29,SOXL,13:33,TQQQ,15:55,TMF,SOXL,10434.74,-6.55,-0.06,3.46,73.4699,37.51
2025-06-20,10434.74,SOXL,10:08,TQQQ,15:55,TQQQ,TMF,10377.56,-57.18,-0.55,3.99,73.86,72.52
2025-06-23,10377.56,TQQQ,07:26,TQQQ,15:55,TQQQ,TMF,10447.24,69.69,0.67,3.35,72.09,74.735
2025-06-24,10447.24,SOXL,no change,no change,15:55,SOXS,SOXS,11098.04,650.8,6.23,0.0,,8.2346
2025-06-25,11098.04,SOXS,no change,no change,15:55,SOXL,SOXL,10846.56,-251.48,-2.27,2.27,,24.545
2025-06-26,10846.56,SOXL,no change,no change,no change,no change,SOXL,11105.23,258.67,2.38,0.0,,
2025-06-27,11105.23,SOXL,no change,no change,no change,no change,SOXL,11054.35,-50.88,-0.46,0.46,,
2025-06-30,11054.35,SOXL,no change,no change,no change,no change,SOXL,11094.52,40.17,0.36,0.1,,
2025-07-01,11094.52,SOXL,no change,no change,no change,no change,SOXL,10963.69,-130.83,-1.18,1.27,,
2025-07-02,10963.69,SOXL,no change,no change,no change,no change,SOXL,11522.94,559.25,5.1,0.0,,
2025-07-03,11522.94,SOXL,no change,no change,no change,no change,SOXL,11644.49,121.55,1.05,0.0,,
2025-07-07,11644.49,SOXL,no change,no change,no change,no change,SOXL,11047.65,-596.83,-5.13,5.13,,
2025-07-08,11047.65,SOXL,11:23,SOXL,15:55,SOXL,SOXL,11703.78,656.13,5.94,0.0,26.5084,26.435
2025-07-09,11703.78,SOXL,no change,no change,no change,no change,SOXL,11772.5,68.72,0.59,0.0,,
2025-07-10,11772.5,SOXL,no change,no change,no change,no change,SOXL,12126.77,354.27,3.01,0.0,,
2025-07-11,12126.77,SOXL,no change,no change,no change,no change,SOXL,12109.04,-17.72,-0.15,0.15,,
2025-07-14,12109.04,SOXL,no change,no change,no change,no change,SOXL,11719.3,-389.74,-3.22,3.36,,
2025-07-15,11719.3,SOXL,no change,no change,no change,no change,SOXL,12148.89,429.59,3.67,0.0,,
2025-07-16,12148.89,SOXL,no change,no change,no change,no change,SOXL,11927.48,-221.41,-1.82,1.82,,
2025-07-17,11927.48,SOXL,no change,no change,no change,no change,SOXL,12104.67,177.19,1.49,0.36,,
2025-07-18,12104.67,SOXL,no change,no change,no change,no change,SOXL,12124.55,19.88,0.16,0.2,,
2025-07-21,12124.55,SOXL,no change,no change,no change,no change,SOXL,12184.39,59.84,0.49,0.0,,
