Window,Profile,Scenario,CPU Final Equity,CPU Return %,CPU Max Drawdown %,CPU Trades,Delta Return % vs S0,Delta Final Equity vs S0,Delta Trades vs S0,GPU Final Equity,GPU Return %,GPU Max Drawdown %,GPU Trades,CPU-GPU Diff (bps),Start Equity,Start Date,End Date,Data Source,GPU Backend
3m,original_composer,S1_threshold_5pct,18559.373763461394,85.59373763461393,35.999998612837366,17,0.0,0.0,0,18559.373763461394,85.59373763461393,35.999998612837366,17,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
3m,original_composer,S2_sequence_rebalance_then_profit,18559.373763461394,85.59373763461393,35.999998612837366,17,0.0,0.0,0,18559.373763461394,85.59373763461393,35.999998612837366,17,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
3m,original_composer,S3_anchor_off,19244.450008731703,92.44450008731704,35.99999861283735,18,6.850762452703108,685.0762452703093,1,19244.450008731703,92.44450008731704,35.99999861283735,18,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
3m,original_composer,S4_zero_costs,18590.951439508444,85.90951439508446,35.99999861283736,19,0.31577676047052705,31.577676047050772,2,18590.951439508444,85.90951439508446,35.99999861283736,19,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
3m,original_composer,S5_profit_exec_market_close,18559.373763461394,85.59373763461393,35.999998612837366,17,0.0,0.0,0,18559.373763461394,85.59373763461393,35.999998612837366,17,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
3m,original_composer,S6_runtime_like_bundle,19244.450008731703,92.44450008731704,35.99999861283735,17,6.850762452703108,685.0762452703093,0,19244.450008731703,92.44450008731704,35.99999861283735,17,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
3m,trailing12_4_adapt,S0_prev_like_baseline,22184.54149555529,121.84541495555293,35.999998612837366,29,0.0,0.0,0,22184.54149555529,121.84541495555293,35.999998612837366,29,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
3m,trailing12_4_adapt,S1_threshold_5pct,22184.54149555529,121.84541495555293,35.999998612837366,29,0.0,0.0,0,22184.54149555529,121.84541495555293,35.999998612837366,29,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
3m,trailing12_4_adapt,S2_sequence_rebalance_then_profit,14815.172647699423,48.15172647699421,36.08662122452295,25,-73.69368847855871,-7369.368847855869,-4,14815.172647699423,48.15172647699421,36.08662122452295,25,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
3m,trailing12_4_adapt,S3_anchor_off,23003.432401278627,130.03432401278627,35.99999861283735,29,8.188909057233346,818.8909057233359,0,23003.432401278627,130.03432401278627,35.99999861283735,29,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
3m,trailing12_4_adapt,S4_zero_costs,22248.969931101496,122.48969931101495,35.99999861283736,34,0.6442843554620197,64.42843554620413,5,22248.969931101496,122.48969931101495,35.99999861283736,34,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
3m,trailing12_4_adapt,S5_profit_exec_market_close,18537.115872276703,85.37115872276703,36.012797333242744,30,-36.47425623278589,-3647.4256232785883,1,18537.115872276703,85.37115872276703,36.012797333242744,30,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
3m,trailing12_4_adapt,S6_runtime_like_bundle,19221.37051910762,92.21370519107619,36.012797333242744,30,-29.63170976447674,-2963.1709764476727,1,19221.37051910762,92.21370519107619,36.012797333242744,30,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
3m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S0_prev_like_baseline,26530.120845009886,165.30120845009884,35.34056015858177,35,0.0,0.0,0,26530.120845009886,165.30120845009884,35.34056015858177,35,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
3m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S1_threshold_5pct,26530.120845009886,165.30120845009884,35.34056015858177,35,0.0,0.0,0,26530.120845009886,165.30120845009884,35.34056015858177,35,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
3m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S2_sequence_rebalance_then_profit,19710.488961576277,97.10488961576276,29.58696498325234,30,-68.19631883433608,-6819.631883433609,-5,19710.488961576277,97.10488961576276,29.58696498325234,30,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
