candidate_id,burst_ret3d_min,burst_rv20_max,burst_dd20_max,riskoff_rv20_min,riskoff_crossovers20_min,riskoff_dd20_min,router_days_v1_all,router_days_v2_all,router_days_m0106_all,1m_meta_final,1m_meta_return,1m_meta_dd,1m_best_baseline_final,1m_best_baseline_dd,2m_meta_final,2m_meta_return,2m_meta_dd,2m_best_baseline_final,2m_best_baseline_dd,6m_meta_final,6m_meta_return,6m_meta_dd,6m_best_baseline_final,6m_best_baseline_dd,1y_meta_final,1y_meta_return,1y_meta_dd,1y_best_baseline_final,1y_best_baseline_dd,wins_vs_best_baseline,avg_uplift_pct_vs_best_baseline,avg_dd_over_best_baseline_pct,ranking_score
MRV1-0180,0.14,140.0,12.0,80.0,9,18.0,296,930,1014,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,27168.370296448287,171.68370296448288,29.16180267001183,45708.51371640169,17.36049286438656,0,-30.462713837353682,8.321536129146171,-329.5917467609753
MRV1-0182,0.14,140.0,12.0,100.0,7,18.0,296,893,1051,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,27168.370296448287,171.68370296448288,29.16180267001183,45708.51371640169,17.36049286438656,0,-30.462713837353682,8.321536129146171,-329.5917467609753
MRV1-0184,0.14,140.0,12.0,100.0,9,18.0,296,930,1014,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,27168.370296448287,171.68370296448288,29.16180267001183,45708.51371640169,17.36049286438656,0,-30.462713837353682,8.321536129146171,-329.5917467609753
MRV1-0169,0.14,120.0,18.0,80.0,7,14.0,330,605,1305,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,26667.423258316834,166.67423258316836,29.16180267001189,45708.51371640169,17.36049286438656,0,-30.736703843482285,8.321536129146185,-332.3316468222614
MRV1-0171,0.14,120.0,18.0,80.0,9,14.0,330,619,1291,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,26667.423258316834,166.67423258316836,29.16180267001189,45708.51371640169,17.36049286438656,0,-30.736703843482285,8.321536129146185,-332.3316468222614
MRV1-0173,0.14,120.0,18.0,100.0,7,14.0,330,605,1305,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,26667.423258316834,166.67423258316836,29.16180267001189,45708.51371640169,17.36049286438656,0,-30.736703843482285,8.321536129146185,-332.3316468222614
MRV1-0175,0.14,120.0,18.0,100.0,9,14.0,330,619,1291,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,26667.423258316834,166.67423258316836,29.16180267001189,45708.51371640169,17.36049286438656,0,-30.736703843482285,8.321536129146185,-332.3316468222614
MRV1-0153,0.14,100.0,18.0,80.0,7,14.0,330,605,1305,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,26667.423258316834,166.67423258316836,29.16180267001189,45708.51371640169,17.36049286438656,0,-30.736703843482285,8.321536129146185,-332.3316468222614
MRV1-0155,0.14,100.0,18.0,80.0,9,14.0,330,619,1291,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,26667.423258316834,166.67423258316836,29.16180267001189,45708.51371640169,17.36049286438656,0,-30.736703843482285,8.321536129146185,-332.3316468222614
MRV1-0157,0.14,100.0,18.0,100.0,7,14.0,330,605,1305,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,26667.423258316834,166.67423258316836,29.16180267001189,45708.51371640169,17.36049286438656,0,-30.736703843482285,8.321536129146185,-332.3316468222614
MRV1-0159,0.14,100.0,18.0,100.0,9,14.0,330,619,1291,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,26667.423258316834,166.67423258316836,29.16180267001189,45708.51371640169,17.36049286438656,0,-30.736703843482285,8.321536129146185,-332.3316468222614
MRV1-0185,0.14,140.0,18.0,80.0,7,14.0,330,605,1305,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,26667.423258316834,166.67423258316836,29.16180267001189,45708.51371640169,17.36049286438656,0,-30.736703843482285,8.321536129146185,-332.3316468222614
MRV1-0187,0.14,140.0,18.0,80.0,9,14.0,330,619,1291,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,26667.423258316834,166.67423258316836,29.16180267001189,45708.51371640169,17.36049286438656,0,-30.736703843482285,8.321536129146185,-332.3316468222614
MRV1-0189,0.14,140.0,18.0,100.0,7,14.0,330,605,1305,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,26667.423258316834,166.67423258316836,29.16180267001189,45708.51371640169,17.36049286438656,0,-30.736703843482285,8.321536129146185,-332.3316468222614
MRV1-0191,0.14,140.0,18.0,100.0,9,14.0,330,619,1291,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,26667.423258316834,166.67423258316836,29.16180267001189,45708.51371640169,17.36049286438656,0,-30.736703843482285,8.321536129146185,-332.3316468222614
MRV1-0050,0.1,100.0,12.0,80.0,7,18.0,330,859,1051,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,25961.054886758808,159.61054886758808,29.161802670011866,45708.51371640169,17.36049286438656,0,-31.123047827417466,8.321536129146178,-336.1950866616132
MRV1-0052,0.1,100.0,12.0,80.0,9,18.0,330,896,1014,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,25961.054886758808,159.61054886758808,29.161802670011866,45708.51371640169,17.36049286438656,0,-31.123047827417466,8.321536129146178,-336.1950866616132
