candidate_id,gate_ok_2y_proxy,score_proxy,long_diff_2y_vs_ov_proxy,mdd_2y_proxy,bias,a20,a60,b_rv,b_dd,temp,floor,ceil,1m_ret_proxy,2m_ret_proxy,3m_ret_proxy,4m_ret_proxy,5m_ret_proxy,6m_ret_proxy,1y_ret_proxy,2y_ret_proxy
G1-278767,True,-221.82933044433594,0.83258056640625,62.37670135498047,0.7934916624591007,0.6817728530418702,-0.18171478573974761,0.0763393251980449,0.0,0.26248245544718796,0.2603640487075053,0.9054533492586985,79.52334594726562,136.3323211669922,144.0410919189453,180.72474670410156,408.5726318359375,374.3921813964844,927.2937622070312,848.438232421875
G1-182250,True,-221.83438110351562,0.66217041015625,62.40702819824219,0.7645160457230042,0.5474804252770494,-0.15160251006336095,0.07430677201045709,0.028716721241451845,0.06614460066824282,0.25815656999499825,0.9010188911869652,79.4332275390625,136.2122802734375,143.8463134765625,181.00790405273438,409.1610412597656,375.1668395996094,921.8363647460938,848.267822265625
G1-1011581,True,-221.99429321289062,26.0574951171875,62.37802505493164,1.1138470185637122,0.6546722157019431,-0.17120460574208743,0.204024218250269,0.00571269559756489,0.15005958653612542,0.24038503700441108,0.9338844645719692,78.70669555664062,135.24581909179688,142.03799438476562,179.38153076171875,411.54901123046875,378.5274658203125,939.1947021484375,873.6631469726562
G1-1090084,True,-222.0179443359375,7.65081787109375,62.442726135253906,0.8592776131178814,0.8269113516622395,-0.24132318857860338,0.09331483329365495,0.0,0.21580926629224767,0.24210303845070058,0.9425021401190085,78.7769775390625,135.3393096923828,142.17080688476562,179.6168975830078,412.4080810546875,379.1070861816406,928.1495971679688,855.2564697265625
G1-1194110,True,-222.09022521972656,11.579833984375,62.22496795654297,0.9568531514598431,0.6934380683799768,-0.18623436550249142,0.12033744562545902,0.0012467006197935254,0.05253969901106692,0.258907288204984,0.8872190158417925,79.46387481689453,136.2530975341797,143.96702575683594,180.99139404296875,407.9427795410156,374.10430908203125,928.5828857421875,859.1854858398438
G1-117744,True,-222.1083526611328,20.699951171875,62.36050796508789,0.7854993878055454,0.723645964071898,-0.19911136056795753,0.12690649128250506,0.00685151117312973,0.10132436671121603,0.24298098352625197,0.9303074836740137,78.81294250488281,135.38717651367188,142.29754638671875,179.64244079589844,411.29998779296875,378.1171875,934.3453369140625,868.3056030273438
G1-121633,True,-222.13467407226562,31.9556884765625,62.37353515625,0.8276148412335514,0.7348390303560111,-0.2044423059771972,0.018327433159116543,0.03400191553400757,0.09727446224983513,0.23536089781632052,0.9437058960170022,78.50092315673828,134.97216796875,141.52574157714844,178.9449462890625,412.2575378417969,379.4989929199219,942.8369750976562,879.5613403320312
G1-076112,True,-222.15223693847656,29.49359130859375,63.046234130859375,1.3777530570277656,0.5597716310114147,-0.15368104584994285,0.09037524023743483,0.03839513610803413,0.11814012077074271,0.22282297517179417,0.9759825838788598,77.98684692382812,134.2883758544922,140.22157287597656,177.7647705078125,414.61468505859375,382.39501953125,953.5084838867188,877.0992431640625
G1-068714,True,-222.17652893066406,6.0814208984375,62.2478141784668,0.8792130443119299,0.7349491245503897,-0.18322369240628278,0.18374641491077015,0.0,0.1575666133614242,0.2626580825860035,0.8812926065123142,79.6169662475586,136.45675659179688,144.34573364257812,181.25340270996094,407.36370849609375,373.3144226074219,925.4254150390625,853.6870727539062
G1-1007968,True,-222.23995971679688,4.37200927734375,62.263954162597656,1.1412988147032561,0.6361982637963449,-0.16692360293029718,0.17301306380157044,0.0,0.2073114748675575,0.26267679084784856,0.8862579202935749,79.6177749633789,136.45777893066406,144.32980346679688,181.1322021484375,407.5041198730469,373.39666748046875,924.9996948242188,851.9776611328125
