candidate_id,gate_ok_2y,score,short_penalty_sum,short_excess_sum,long_diff_2y_vs_ov,bias,a20,a60,b_rv,b_dd,temp,floor,ceil,1m_ret,1m_mdd,2m_ret,2m_mdd,3m_ret,3m_mdd,4m_ret,4m_mdd,5m_ret,5m_mdd,6m_ret,6m_mdd,1y_ret,1y_mdd,2y_ret,2y_mdd
G1-512251,True,-189.59824945130364,200.65713601603414,83.63686036998763,134.7600263865868,5.523934573053765,0.6206978731213941,-0.14604152342056909,0.9748872539002549,0.004457314738907048,0.4013936770428858,0.17317182327127353,0.843799035607147,90.27859011472808,7.93,150.39662425782603,25.14,153.6604165890358,25.79,234.312364636884,25.79,355.7722666588064,25.79,335.57628963682725,25.79,909.3738401251873,42.71,982.3657000000001,56.96
G1-1371593,True,-189.77269234775855,202.00329401687475,96.4875914138446,129.09212638658676,4.163920391469093,0.6471436998413022,-0.16542445306558903,0.4318555541194588,0.08945496621920741,0.13704211095632676,0.2015292633633882,0.7087413045936852,90.94574466066405,7.72,151.28884109093238,24.53,156.6465073883453,25.19,229.9451499925075,25.19,354.2478611239905,25.19,336.0963083422272,25.19,921.7045524636443,42.58,976.6978,56.86
G1-1221487,True,-198.43234127808321,208.74404369112492,81.08079885309974,110.18112638658658,6.790126576640258,0.7937453715435763,-0.1946958237131865,0.9744390362462835,0.07008946456975718,0.3632276112266832,0.20863763085517528,0.7349701840521758,91.11221361040191,7.72,151.51331922070318,24.48,157.02347646449078,25.14,225.66525455038052,25.14,351.0190907362132,25.14,331.6947392821812,25.14,910.6993289629454,43.19,957.7867999999999,57.32
G1-1256681,True,-201.566525544106,212.96510648474987,86.53702412912116,137.24392638658685,0.32510587561137605,0.6453320905458654,-0.15442893328976126,0.03203464717245166,0.029860418068893415,0.19896468711275306,0.1677839480835298,0.7908547005627058,90.15128675774629,8.0,150.22814282834372,25.11,153.581985656256,25.77,231.57434988663783,25.77,346.5765266595808,25.77,328.77583534938617,25.77,919.0744581717619,41.83,984.8496000000001,56.3
G1-458159,True,-202.2056472493909,212.1269089218781,90.29633144755485,44.58142638658683,7.402753636660417,0.39702182519297136,-0.19403723786238025,0.21582561978268394,0.021406292840010544,0.20766000682179864,0.12324395445223853,0.6673167973333144,96.58511639923981,8.53,158.66551158144136,19.67,181.20698372821482,23.88,214.26639760569097,23.88,330.11852906394034,23.88,319.6428125823426,23.88,924.0747392301482,46.89,892.1871000000001,60.1
G1-641813,True,-203.89314721723906,208.12847569925157,29.852639542807765,62.503226386586675,5.964311194415515,0.7059204851737139,-0.16901539364476825,0.8876184937642512,0.023277998219377417,0.05531649480533843,0.159817819910129,0.9194910517288537,89.96271866395007,8.09,149.9702171561554,25.51,151.9901709481667,26.16,246.8847271788194,26.16,343.94693076756744,26.16,321.7290194688374,26.16,863.6310473254011,41.6,910.1089,55.94
G1-663669,True,-204.42862114063576,212.44141487737986,35.4254520901236,223.51242638658664,4.232029285823433,0.6187841729795656,-0.16598485009540234,0.519692643342199,0.04987138848365378,0.09645392312997089,0.11548105667140351,0.9328418267820564,88.90631691605645,8.62,148.55378991448785,26.1,148.604917253267,26.73,248.50722417438013,26.73,342.39228116539533,26.73,323.2063155817814,26.73,869.203859872717,32.68,1071.1181,54.95
G1-1318628,True,-208.5871535079771,219.0280049350173,82.78244899308476,108.13032638658683,2.7623638840029923,0.7456504563413178,-0.19099521707727352,0.3167767277158338,0.027150423906646282,0.07381745331483493,0.22581204923243048,0.6265546059586141,91.51308682555705,7.72,152.0500301174833,24.06,159.01097833479065,24.73,217.3018749235475,24.73,346.1734231369187,24.73,328.92297566594146,24.73,915.1727427191702,42.65,955.7360000000001,56.92
G1-747550,True,-210.90668360835954,225.7100939056446,116.02975769553325,160.0217263865867,6.068549171664671,0.39218355023726964,-0.1437429354679882,0.19534441751317813,0.015348857178743104,0.19090911146351514,0.009257426579766649,0.6803913085349982,93.80080233926971,9.89,155.3357653716927,18.26,182.0952157315384,23.91,215.6143456792023,23.91,321.23631091916695,23.91,318.81972593623334,23.91,949.8081654781266,42.28,1007.6274,56.63
G1-236580,True,-211.04039849895557,219.79332866690885,68.94501640221529,92.92142638658686,0.2428441308617817,0.46174545447362614,-0.11627622492477681,0.015311738125972729,0.015236647612050725,0.2894173024381208,0.15168144661405478,0.8846434392816918,89.76975263824154,8.19,149.73397604056316,25.49,151.80581570375534,26.14,229.25499177754145,26.14,345.84853199463714,26.14,326.4058630611005,26.14,902.7234241848087,43.16,940.5271000000001,57.24
G1-287742,True,-218.62034516865936,230.77231551257148,91.33319816180386,150.93252638658691,2.8116135814554024,0.5087071157849513,-0.15163269590343786,0.12716476595159695,0.0789394793636399,0.3387002527640983,0.17258034393625843,0.6890938453171287,90.26461015989813,7.94,150.38170200758802,24.87,154.57641093808553,25.52,211.69244388454302,25.52,347.3899157706283,25.52,332.2179860955371,25.52,920.4284814582936,41.17,998.5382000000002,55.81
G1-566036,True,-226.76478750185183,238.0365399547602,63.75055925176639,244.83482638658666,5.391395883620206,0.5347109112355649,-0.17595522341068454,0.584290975411609,0.023619917467887053,0.7480047082257089,0.09974783413014793,0.9522319856714626,88.54754853029144,8.81,148.08791134716066,26.31,147.4283288344434,26.94,216.7316496977685,26.94,346.2454199088903,26.94,331.2226178055912,26.94,893.8412108382021,33.16,1092.4405,56.21
G1-1360013,True,-229.2266578107329,240.31582791030763,86.51813571843002,121.8678263865869,4.6301735376782425,0.5846835380052702,-0.1983909681746071,0.28436356385359823,0.0676585338704256,0.19120761757286625,0.16007636177479992,0.7408905063500263,89.96884575834976,8.09,149.97843751073745,25.13,153.30116798534962,25.77,202.7974134599405,25.77,348.7157056486295,25.77,332.89163395444064,25.77,914.9397711560163,42.85,969.4735000000002,57.07
G1-587626,True,-229.42621725200294,241.52129720024132,103.44327420506653,87.53762638658668,4.700048186624764,0.2595493704513023,-0.14775533646924277,0.09559557247761753,0.022666980752880407,0.6513784746870163,0.012912511781335035,0.6509285741254563,92.93664464946121,9.85,153.81666577168832,23.84,161.67147258176354,24.48,199.58867972036472,24.48,335.54263834979537,24.48,333.7188357497416,24.48,931.0377078473518,44.83,935.1433,58.55
G1-332961,True,-240.39541245213627,252.0053908690575,87.36413889189481,143.67822638658674,5.746884393097899,0.4192409627130978,-0.19607383823512745,0.26660871601316993,0.026045287433117625,1.5367131010103061,0.016166057383702272,0.7803753015254035,89.85242683449593,9.81,149.8018014471001,24.78,154.30372230826265,25.43,202.6134172333299,25.43,336.5006395810684,25.43,330.5747288795107,25.43,918.102679404411,42.05,991.2839,56.47
G1-846414,True,-243.4239270649433,249.11162120222042,36.77343609545369,100.51752638658672,5.18757739441296,0.4845802562825024,-0.1463329501048233,0.5651843129489291,0.04302298834414238,0.4956014696256794,0.10669898733444567,0.8935030858923225,88.69612620702718,8.73,148.28658569085084,26.09,148.37672424395598,26.72,217.59634491999518,26.72,338.36497373674337,26.72,322.17988388195505,26.72,870.5518438780471,39.67,948.1232,54.86
G1-1173402,True,-245.03665891008288,253.16842814765926,45.678047098446314,178.19822638658684,2.3888770814850666,0.43601694482397346,-0.14439528971515952,0.18098528408320982,0.0022482631476557382,0.34691928427961144,0.1267646286281062,0.9469100978533621,89.1771009457478,8.49,148.91900365528042,26.03,149.21556473981656,26.66,209.88476114348126,26.66,341.20606619008635,26.66,321.0413350606764,26.66,879.4564548810397,35.97,1025.8039,56.46
G1-154022,True,-253.15815022178057,261.90210552465396,85.1114677514164,11.640426386586796,7.755859722710358,0.4288162441520526,-0.18889471000542069,0.011431790511236483,0.10150957010847268,0.09345158773941135,0.12202210923491084,0.6630192807388618,93.0625019874902,8.54,154.35449776416385,20.59,173.01693693816767,23.87,205.0005023745145,23.87,317.6227731048534,23.87,307.6529421889044,23.87,918.8898755340098,48.36,859.2461000000001,61.21
G1-915038,True,-256.63709886384163,266.8128223101753,80.80152918601902,104.77852638658669,6.368317425115805,0.22324360484241865,-0.09381641906165701,0.5250491294307039,0.011237982745535913,0.31957419575806834,0.08709772352971706,0.7173154969286948,93.30423317645649,8.96,154.43901688935654,20.57,173.4388044173865,24.0,206.84626753699104,24.0,311.94203602002585,24.0,305.8290795323563,24.0,914.5799369686124,43.55,952.3842,57.59
