file,exec_requested,order_type,dsp,pldsp,anch,exec_effective,cpu_final,cpu_return_pct,cpu_maxdd_pct,cpu_events,diff_final,diff_ret_pp,exact
combo_1y_exec_market_close_ot_close_position_dsp_off_pldsp_off_anch_off_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,close_position,off,off,off,market_close,31775.59841178705,217.7559841178705,31.212248208014294,451,-44105.75408631883,-441.05754086318836,False
combo_1y_exec_market_close_ot_market_order_dsp_off_pldsp_off_anch_off_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_order,off,off,off,market_close,31775.59841178705,217.7559841178705,31.212248208014294,451,-44105.75408631883,-441.05754086318836,False
combo_1y_exec_market_close_ot_close_position_dsp_on_pldsp_off_anch_off_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,close_position,on,off,off,market_close,30979.446715282294,209.79446715282296,24.215497975196442,269,-44901.9057828236,-449.01905782823593,False
combo_1y_exec_market_close_ot_market_order_dsp_on_pldsp_off_anch_off_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_order,on,off,off,market_close,30979.446715282294,209.79446715282296,24.215497975196442,269,-44901.9057828236,-449.01905782823593,False
combo_1y_exec_market_close_ot_stop_order_dsp_on_pldsp_off_anch_off_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,stop_order,on,off,off,market_close,30979.446715282294,209.79446715282296,24.215497975196442,269,-44901.9057828236,-449.01905782823593,False
combo_1y_exec_market_close_ot_trailing_stop_dsp_on_pldsp_off_anch_off_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,trailing_stop,on,off,off,market_close,30979.446715282294,209.79446715282296,24.215497975196442,269,-44901.9057828236,-449.01905782823593,False
combo_1y_exec_paper_live_style_optimistic_ot_close_position_dsp_off_pldsp_off_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_paper_live_style_optimistic.json,paper_live_style_optimistic,close_position,off,off,on,synthetic,30713.74828617298,207.13748286172978,32.896830365081854,444,-45167.60421193291,-451.6760421193291,False
combo_1y_exec_paper_live_style_optimistic_ot_market_order_dsp_off_pldsp_off_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_paper_live_style_optimistic.json,paper_live_style_optimistic,market_order,off,off,on,synthetic,30713.74828617298,207.13748286172978,32.896830365081854,444,-45167.60421193291,-451.6760421193291,False
combo_1y_exec_synthetic_ot_close_position_dsp_off_pldsp_off_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_synthetic.json,synthetic,close_position,off,off,on,synthetic,30713.74828617298,207.13748286172978,32.896830365081854,444,-45167.60421193291,-451.6760421193291,False
combo_1y_exec_synthetic_ot_market_order_dsp_off_pldsp_off_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_synthetic.json,synthetic,market_order,off,off,on,synthetic,30713.74828617298,207.13748286172978,32.896830365081854,444,-45167.60421193291,-451.6760421193291,False
